# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
アイディア idea [想法，灵感，点子]
アイドル idle [偶像]
あがる 上がる [上，升起，上升]
あきらか 明らか [明显，显然]
あきらめる 諦める [放弃，死心，断念]
あける 明ける [（天）亮]
あける 開ける [开；打开；推开；拉开]
あげる 上げる [举，抬，扬，提高]
あげる 揚げる [(油)炸]
あじわう 味わう [品味；玩味；体验]
あずかる 預かる [保管，保留]
あずける 預ける [寄存；委托]
あせる 焦る [着急，焦躁，焦虑]
あたえる 与える [给，给予，授予]
あたためる 暖・温める [加温，加热，烫]
あたりまえ 当たり前 [当然，理所应当]
あたる 当たる [碰上，撞上，命中]
あっか 悪化 [恶化，变坏]
あつかう 扱う [操纵，处理，接待]
あてる 当てる [猜测，推测；对应上]
アドバイス advice [建议]
あな 穴 [孔，洞]
アニメ animation [动画片]
あばれる 暴れる [酒醉乱闹，撒野]
あびる 浴びる [浇，淋，晒，蒙受]
あぶら 油 [油]
あまい 甘い [甜；姑息；天真；肤浅]
あまやかす 甘やかす [娇惯，纵容，放纵]
あまる 余る [残余，多余，超过]
あやまる 誤る [错，弄错]
あやまる 謝る [谢罪,道歉,认错]
あらすじ あらすじ [概略,梗概,概要]
あらそう 争う [争,争先；竞争,斗争]
あらためる 改める [争改，改变，改正]
あらわす 表・現す [表现；表示；表达]
あらわれる 表・現れる [表现，显出，出现]
ありがたい 有り難い [难得的，值得感谢的]
あるいは あるいは [或，或者]
アルコール alcohol [乙醇，酒精]
アルバイト 德 Arbeit [打工，工读]
あわせる 合･併わせる [配合，对准，合并]
あわただしい 慌ただしい [慌忙的，不安定的]
あわてる 慌てる [惊慌，着慌，慌忙]
あんがい 案外 [出乎意外]
あんき 暗記 [背诵，熟记]
アンケート 法 enquête [问卷调查]
あんしん 安心 [放心]
あんぜん 安全 [安全，平安]
あんない 案内 [引导，通知；介绍]
い 胃 [胃]
いいかえる 言い換える [换句话说，换言之]
いいかげん 好い加減 [适当，敷衍]
いいわたす 言い渡す [命令，吩咐；宣告，宣判]
いかす 生かす [留活命；放生；有效利用]
いき 息 [呼吸，气息]
いきいき 生き生き [生动，鲜活，生气勃勃]
いきおい 勢い [气势，势头，劲头]
いきなり いきなり [突然，一下子，冷不防]
いきる 生きる [生存，生活]
いけばな 生け花 [(花道)插花]
いけん 意見 [意见]
いご 以後 [以后，之后]
いさん 遺産 [遗产]
いし 意志 [意志，意愿]
いしき 意識 [意识，知觉，神志]
いしょくじゅう 衣食住 [衣食住，吃穿住]
いせき 遺跡 [遗迹，遗址，古迹]
いぜん 以前 [以前，从前]
いそぐ 急ぐ [快，急，加快，赶紧]
いぞん 依存 [依存，依赖]
いた 板 [板，木板]
いたす いたす [(自谦) 做]
いただく 頂く [(自谦) 承蒙,领受；吃,喝]
いだく 抱く [抱，怀抱，怀有]
いたずら いたずら [淘气，恶作剧，使坏]
いち 位置 [位置]
いちにんまえ 一人前 [够格的人，能独立胜任]
いっき 一気 [一口气]
いっしょうけんめい 一生懸命 [拼命，努力]
いっそう 一層 [越发，更加]
いったい 一体 [一体，整体；究竟，到底]
いっぱんてき 一般的 [一般的，普遍的]
いっぽう 一方 [一方面…另一方面]
いつまでも いつまでも [无论到何时，永久地]
いどう 移動 [移动，转移]
いどう 異同 [异同，差异]
いとこ いとこ [堂表兄弟姐妹]
いぬ 犬 [狗，犬]
いね 稲 [稻子]
いのち 命 [生命，性命；寿命]
いのる 祈る [祝愿，祈祷]
いぶんか 異文化 [异文化，跨文化]
イベント event [活动，集会]
いまさら 今更 [事到如今，现在才…]
いましめる 戒める [劝戒，规劝；警戒]
イメージ image [形象,意象,表象；映像]
いやす 癒す [医治，治愈；藉慰]
いらいら いらいら [着急，焦躁]
イラスト illustration [插图]
いらっしゃる いらっしゃる [（尊他）在，去，来]
いる 要る [要，需要，必要]
いれかえる 入れ替える [更换，调换，变换]
いろどる 彩る [上色，着色，配色，装饰]
いわ 岩 [岩石]
いわう 祝う [庆贺，祝福，祝愿]
いんしょう 印象 [印象]
インターネット internet [互联网，因特网]
ウェイター waiter [男服务员，男招待]
ウェイトレス waitress [女服务员，女招待]
ウェブコンテンツ web contents [网页内容]
うえる 飢える [饥饿；渴望]
ウォーミングアップ warming up [热身，准备活动]
うかがう 伺う [拜访，请教，听说]
うかぶ 浮ぶ [漂浮，浮现，出现]
うかべる 浮べる [漂浮，浮现；想起]
うけあう 請け合う [承诺，担保；保证]
うけいれる 受け入れる [接受，接纳]
うけつぐ 受け継ぐ [继承，承继]
うごかす 動かす [驱动，开动，挪动]
うごく 動く [动，启动，摇动]
うしなう 失う [失去，丧失]
